ID da fila,ID da compra,Data da compra,Data de envio,Modo de envio,ID do cliente,Nome do cliente,Segmento,Cidade,Estado,Região Brasileira,País,Região,ID do produto,Categoria,Sub-categoria,Nome do produto,Quantidade,Valor_Vendas,Valor_Desconto,Valor_Lucro
24,US-2018-119753,10/3/2018,10/8/2018,Classe padrão,EC-13195,Eduarda Castro,Grande Empresa,Cidade do Panamá,Panamá,,Panamá,Central,MAT-FI-10002744,Material de escritório,Fichários,"Acco Encadernadora, Transparente",3,"606,6","0,4","-202,2"
27,MX-2018-120607,6/18/2018,6/25/2018,Classe padrão,SP-20650,Sophia Pereira,Grande Empresa,Cidade do México,Distrito Federal,,México,Norte,MAT-AR-10000951,Material de escritório,Armazenamento,"Rogers Caixa, Tamanho real",5,800,0,344
28,US-2017-167129,5/25/2017,6/1/2017,Classe padrão,RF-20050,Rodrigo Fernandes,Pequenas e Medias Empresas,Tegucigalpa,Francisco Morazán,,Honduras,Central,MAT-FI-10000837,Material de escritório,Fichários,"Wilson Jones Encadernadora, Durável",7,"1412,88","0,4","-730,52"
29,US-2017-167129,5/25/2017,6/1/2017,Classe padrão,RF-20050,Rodrigo Fernandes,Pequenas e Medias Empresas,Tegucigalpa,Francisco Morazán,,Honduras,Central,MAT-CO-10003399,Material de escritório,Colchetes,"Stockwell Percevejo niquelado, Metal",4,"218,4","0,4","-32,8"
31,US-2017-167129,5/25/2017,6/1/2017,Classe padrão,RF-20050,Rodrigo Fernandes,Pequenas e Medias Empresas,Tegucigalpa,Francisco Morazán,,Honduras,Central,MAT-AR-10003036,Material de escritório,Arte,"Crayola Marcador, Azul",2,"192,72","0,4","28,72"
32,US-2017-167129,5/25/2017,6/1/2017,Classe padrão,RF-20050,Rodrigo Fernandes,Pequenas e Medias Empresas,Tegucigalpa,Francisco Morazán,,Honduras,Central,MAT-AC-10000856,Material de escritório,Eletrônicos,"Breville Torradeira, Preto",5,"1522,8","0,4","-990,2"
34,US-2017-167129,5/25/2017,6/1/2017,Classe padrão,RF-20050,Rodrigo Fernandes,Pequenas e Medias Empresas,Tegucigalpa,Francisco Morazán,,Honduras,Central,MAT-AR-10001838,Material de escritório,Arte,"Stanley Apontador, Metal",1,"104,16","0,4","-7,04"
35,MX-2018-100727,5/15/2018,5/18/2018,Primeira classe,EF-13525,Emily Fernandes,Grande Empresa,Cidade do México,Distrito Federal,,México,Norte,MAT-MA-10002935,Material de escritório,Materiais,"Fiskars Estilete, Retangular",14,"3007,2",0,"1290,8"
36,MX-2018-100727,5/15/2018,5/18/2018,Primeira classe,EF-13525,Emily Fernandes,Grande Empresa,Cidade do México,Distrito Federal,,México,Norte,MAT-MA-10001381,Material de escritório,Materiais,"Acme Abridor de carta, Aço",7,"1381,8",0,"537,6"
37,MX-2018-100727,5/15/2018,5/18/2018,Primeira classe,EF-13525,Emily Fernandes,Grande Empresa,Cidade do México,Distrito Federal,,México,Norte,MAT-MA-10001508,Material de escritório,Materiais,"Kleencut Estilete, Aço",4,908,0,"317,6"
40,MX-2018-154739,7/4/2018,7/7/2018,Segunda classe,SA-20440,Sofia Almeida,Grande Empresa,Artemisa,Artemisa,,Cuba,Caribe,MAT-CO-10003965,Material de escritório,Colchetes,"Advantus Elásticos, Embalagem com 12",4,"427,2",0,4
41,MX-2018-121398,12/9/2018,12/11/2018,Segunda classe,AA-10825,Arthur Alves,Grande Empresa,La Romana,La Romana,,República Dominicana,Caribe,MAT-MA-10004629,Material de escritório,Materiais,"Fiskars Cortador de papel, Retangular",3,624,"0,2","85,8"
44,MX-2018-142643,10/29/2018,11/2/2018,Classe padrão,LS-17815,Luis Souza,Varejo,San Juan del Río,Querétaro,,México,Norte,MAT-AC-10003188,Material de escritório,Eletrônicos,"Hamilton Beach Forno, Preto",2,"7223,6",0,"505,6"
47,US-2016-151372,4/28/2016,5/3/2016,Classe padrão,AA-10240,Alice Araujo,Varejo,Santo Domingo,Distrito Nacional,,República Dominicana,Caribe,MAT-AR-10003252,Material de escritório,Armazenamento,"Eldon Bandejas, Metal",5,"1254,4","0,2","-0,6"
50,MX-2018-100783,5/6/2018,5/10/2018,Classe padrão,MS-18205,Maria Santos,Grande Empresa,Medellín,Antioquia,,Colômbia,Sul,MAT-CO-10001898,Material de escritório,Colchetes,"Accos Clips de papel, Embalagem com 12",5,449,0,85
51,MX-2015-168662,10/14/2015,10/19/2015,Segunda classe,KG-16255,Kauã Gomes,Grande Empresa,Toluca,México,,México,Norte,MAT-MA-10002131,Material de escritório,Materiais,"Stiletto Abridor de carta, Retangular",4,"668,8",0,"287,2"
54,US-2015-150987,4/3/2015,4/7/2015,Segunda classe,EA-13480,Emily Alves,Pequenas e Medias Empresas,Tegucigalpa,Francisco Morazán,,Honduras,Central,MAT-AC-10000709,Material de escritório,Eletrônicos,"KitchenAid Forno, Preto",3,"6834,96","0,4","-797,64"
55,US-2015-150987,4/3/2015,4/7/2015,Segunda classe,EA-13480,Emily Alves,Pequenas e Medias Empresas,Tegucigalpa,Francisco Morazán,,Honduras,Central,MAT-EN-10004625,Material de escritório,Envelopes,"Ames Com lacre, Reciclado",2,"277,2","0,4","41,2"
56,MX-2017-156013,6/1/2017,6/6/2017,Classe padrão,DS-13030,Diogo Sousa,Pequenas e Medias Empresas,Santo Domingo,Distrito Nacional,,República Dominicana,Caribe,MAT-CO-10003399,Material de escritório,Colchetes,"Stockwell Percevejo niquelado, Metal",3,"218,4","0,2",30
59,US-2015-134950,8/25/2015,8/29/2015,Classe padrão,NF-19240,Nicolash Ferreira,Varejo,Cidade do Panamá,Panamá,,Panamá,Central,MAT-AR-10001866,Material de escritório,Arte,"Sanford Marcadores de texto, Tamanhos variados",3,"227,16","0,4","-117,84"
61,MX-2015-155488,10/22/2015,10/28/2015,Classe padrão,CS-12220,Carla Silva,Varejo,La Paz,Baixa Califórnia do Sul,,México,Norte,MAT-AC-10003848,Material de escritório,Eletrônicos,"Hoover Liquidificador, Branco",1,"635,4",0,"209,6"
64,MX-2018-165442,3/14/2018,3/17/2018,Primeira classe,BF-11530,Breno Ferreira,Pequenas e Medias Empresas,Ciudad Madero,Tamaulipas,,México,Norte,MAT-FI-10001257,Material de escritório,Fichários,"Acco Encadernadora, Reciclado",2,686,0,"267,2"
65,MX-2018-165442,3/14/2018,3/17/2018,Primeira classe,BF-11530,Breno Ferreira,Pequenas e Medias Empresas,Ciudad Madero,Tamaulipas,,México,Norte,MAT-FI-10002581,Material de escritório,Fichários,"Acco Pasta argolada, Transparente",5,487,0,175
67,MX-2015-165673,6/1/2015,6/6/2015,Classe padrão,NS-19210,Nicolas Souza,Grande Empresa,Guantânamo,Guantânamo,,Cuba,Caribe,MAT-PA-10002155,Material de escritório,Papel,"Eaton Papel de pergaminho, Premium",2,"179,6",0,"57,2"
73,MX-2016-156720,2/18/2016,2/23/2016,Classe padrão,FC-14215,Felipe Costa,Grande Empresa,Monterrey,Novo Leão,,México,Norte,MAT-MA-10002650,Material de escritório,Materiais,"Stiletto Cortador de papel, Azul",1,285,0,"122,4"
75,MX-2016-156720,2/18/2016,2/23/2016,Classe padrão,FC-14215,Felipe Costa,Grande Empresa,Monterrey,Novo Leão,,México,Norte,MAT-FI-10004660,Material de escritório,Fichários,"Cardinal Divisórias, Transparente",2,"89,6",0,"39,2"
76,MX-2016-156720,2/18/2016,2/23/2016,Classe padrão,FC-14215,Felipe Costa,Grande Empresa,Monterrey,Novo Leão,,México,Norte,MAT-EN-10001718,Material de escritório,Envelopes,"Jiffy Com lacre, Vermelho",5,1357,0,312
77,US-2018-157630,6/25/2018,6/29/2018,Classe padrão,LB-16915,Leonardo Barbosa,Varejo,Lima,Lima,,Peru,Sul,MAT-MA-10003427,Material de escritório,Materiais,"Fiskars Tesouras, Azul",2,"185,28","0,4","-83,52"
78,US-2018-157630,6/25/2018,6/29/2018,Classe padrão,LB-16915,Leonardo Barbosa,Varejo,Lima,Lima,,Peru,Sul,MAT-AR-10002257,Material de escritório,Armazenamento,"Smead Armários, Tamanho real",2,"1587,6","0,4","158,4"
79,US-2018-157630,6/25/2018,6/29/2018,Classe padrão,LB-16915,Leonardo Barbosa,Varejo,Lima,Lima,,Peru,Sul,MAT-MA-10000797,Material de escritório,Materiais,"Kleencut Tesouras, Retangular",7,"1217,16","0,4","-20,44"
83,US-2015-119935,6/14/2015,6/18/2015,Classe padrão,KB-16465,Kauê Barbosa,Varejo,San Miguelito,Panamá,,Panamá,Central,MAT-AR-10002860,Material de escritório,Arte,"Crayola Marcadores de texto, Tamanhos variados",5,"395,4","0,4","-198,6"
84,MX-2017-119970,6/26/2017,7/2/2017,Classe padrão,MS-18220,Maria Silva,Varejo,Cidade do México,Distrito Federal,,México,Norte,MAT-AR-10002439,Material de escritório,Armazenamento,"Eldon Armários, Tamanho real",2,"2639,2",0,"52,4"
85,MX-2017-119970,6/26/2017,7/2/2017,Classe padrão,MS-18220,Maria Silva,Varejo,Cidade do México,Distrito Federal,,México,Norte,MAT-MA-10003141,Material de escritório,Materiais,"Elite Cortador de papel, Industrial",5,1443,0,360
86,MX-2018-165925,1/23/2018,1/28/2018,Classe padrão,CG-12355,Carolina Goncalves,Varejo,Tuxtla Gutiérrez,Chiapas,,México,Norte,MAT-PA-10002524,Material de escritório,Papel,"Green Bar Cadernetas, Multicolorido",3,"367,2",0,"102,6"
87,MX-2018-137365,6/18/2018,6/23/2018,Classe padrão,MP-18760,Matheus Pinto,Varejo,Piedras Negras,Coahuila,,México,Norte,MAT-CO-10001542,Material de escritório,Colchetes,"OIC Clips de papel, Embalagem tipo bulk",8,"769,6",0,"99,2"
91,MX-2016-158981,12/29/2016,1/2/2017,Classe padrão,TA-20845,Thaís Alves,Varejo,Tijuana,Baixa Califórnia,,México,Norte,MAT-FI-10002102,Material de escritório,Fichários,"Ibico Reforço para fichário, Econômico",9,"419,4",0,0
92,MX-2016-158981,12/29/2016,1/2/2017,Classe padrão,TA-20845,Thaís Alves,Varejo,Tijuana,Baixa Califórnia,,México,Norte,MAT-EN-10002793,Material de escritório,Envelopes,"Ames Com lacre, Prata",10,2550,0,918
93,MX-2017-169292,4/24/2017,4/28/2017,Classe padrão,AF-10780,Anna Ferreira,Grande Empresa,Chihuahua,Chihuahua,,México,Norte,MAT-PA-10000782,Material de escritório,Papel,"Xerox Cadernetas, Embalagem com 12",5,589,0,153
94,MX-2017-169292,4/24/2017,4/28/2017,Classe padrão,AF-10780,Anna Ferreira,Grande Empresa,Chihuahua,Chihuahua,,México,Norte,MAT-EN-10002322,Material de escritório,Envelopes,"Kraft Envelope kraft, Conjunto de 50",5,883,0,88
95,MX-2017-169292,4/24/2017,4/28/2017,Classe padrão,AF-10780,Anna Ferreira,Grande Empresa,Chihuahua,Chihuahua,,México,Norte,MAT-CO-10000354,Material de escritório,Colchetes,"Stockwell Percevejo niquelado, Metal",2,"176,8",0,"22,8"
98,MX-2015-149986,10/22/2015,10/26/2015,Classe padrão,ÁC-10075,Ágatha Correia,Grande Empresa,Managua,Managua,,Nicarágua,Central,MAT-AR-10004870,Material de escritório,Armazenamento,"Smead Pratelheiras, Metal",3,960,0,48
100,US-2017-125892,8/9/2017,8/11/2017,Primeira classe,MA-18400,Marisa Almeida,Varejo,Santo Domingo,Distrito Nacional,,República Dominicana,Caribe,MAT-PA-10002996,Material de escritório,Papel,"Eaton Resma, Premium",6,"849,6","0,2",-54
102,MX-2017-165708,12/5/2017,12/10/2017,Classe padrão,CC-12040,Camila Costa,Pequenas e Medias Empresas,Camagüey,Camagüey,,Cuba,Caribe,MAT-CO-10001674,Material de escritório,Colchetes,"Stockwell Alfinetes, Tamanhos variados",5,394,0,51
104,US-2017-103051,11/5/2017,11/11/2017,Classe padrão,VC-21400,Vitor Cardoso,Varejo,Ocotlán,Jalisco,,México,Norte,MAT-AR-10002650,Material de escritório,Arte,"Sanford Canetas, Metal",2,"164,8",0,"22,8"
105,MX-2017-151988,12/1/2017,12/3/2017,Segunda classe,NC-19150,Nicolas Castro,Varejo,Cholula,Puebla,,México,Norte,MAT-EN-10004878,Material de escritório,Envelopes,"Jiffy Envelope com fecho, Conjunto de 50",1,"56,8",0,"22,6"
107,US-2015-150623,9/28/2015,10/3/2015,Classe padrão,GO-14785,Giovanna Oliveira,Pequenas e Medias Empresas,Santo Domingo,Distrito Nacional,,República Dominicana,Caribe,MAT-PA-10004531,Material de escritório,Papel,"Green Bar Artigos de papelaria, Reciclado",3,"772,8","0,2","-10,2"
108,US-2018-112368,6/8/2018,6/12/2018,Segunda classe,VC-21265,Vinícius Cunha,Grande Empresa,Buenos Aires,Cidade de Buenos Aires,,Argentina,Sul,MAT-AR-10001367,Material de escritório,Arte,"Stanley Canetas, Azul",4,"160,8","0,4","-53,6"
109,US-2018-112368,6/8/2018,6/12/2018,Segunda classe,VC-21265,Vinícius Cunha,Grande Empresa,Buenos Aires,Cidade de Buenos Aires,,Argentina,Sul,MAT-PA-10004245,Material de escritório,Papel,"Green Bar Agenda, Embalagem com 12",1,"111,72","0,4","-1,88"
112,MX-2016-121006,11/9/2016,11/13/2016,Classe padrão,FC-14200,Felipe Costa,Pequenas e Medias Empresas,Huehuetenango,Huehuetenango,,Guatemala,Central,MAT-MA-10001979,Material de escritório,Materiais,"Fiskars Régua, Aço",5,461,0,101
113,US-2017-130631,9/17/2017,9/22/2017,Segunda classe,SC-20275,Samuel Costa,Varejo,Resistencia,Chaco,,Argentina,Sul,MAT-PA-10003161,Material de escritório,Papel,"Enermax Agenda, Multicolorido",7,"669,48","0,4","-167,72"
114,US-2017-130631,9/17/2017,9/22/2017,Segunda classe,SC-20275,Samuel Costa,Varejo,Resistencia,Chaco,,Argentina,Sul,MAT-PA-10000468,Material de escritório,Papel,"SanDisk Papel de pergaminho, Multicolorido",9,"652,32","0,4","85,32"
115,US-2017-130631,9/17/2017,9/22/2017,Segunda classe,SC-20275,Samuel Costa,Varejo,Resistencia,Chaco,,Argentina,Sul,MAT-AR-10003216,Material de escritório,Armazenamento,"Tenex Armários, Industrial",5,"4092,6","0,4","204,6"
116,MX-2018-145051,2/25/2018,3/2/2018,Classe padrão,VM-21085,Victor Martins,Varejo,Santa Cruz de Barahona,Barahona,,República Dominicana,Caribe,MAT-CO-10001160,Material de escritório,Colchetes,"Stockwell Grampos, Embalagem tipo bulk",5,"277,6","0,2","13,6"
118,MX-2017-117471,8/15/2017,8/19/2017,Segunda classe,AM-10330,Alice Martins,Varejo,Soledad,Atlántico,,Colômbia,Sul,MAT-AC-10002648,Material de escritório,Eletrônicos,"KitchenAid Geladeira, Branco",3,"10521,6",0,0
119,MX-2017-117471,8/15/2017,8/19/2017,Segunda classe,AM-10330,Alice Martins,Varejo,Soledad,Atlántico,,Colômbia,Sul,MAT-EN-10003914,Material de escritório,Envelopes,"Jiffy Com lacre, Prata",7,"1846,6",0,"331,8"
120,MX-2017-117471,8/15/2017,8/19/2017,Segunda classe,AM-10330,Alice Martins,Varejo,Soledad,Atlántico,,Colômbia,Sul,MAT-CO-10002140,Material de escritório,Colchetes,"Accos Elásticos, Metal",3,336,0,"97,2"
121,US-2016-146360,3/15/2016,3/19/2016,Classe padrão,MA-18685,Matheus Almeida,Pequenas e Medias Empresas,Tegucigalpa,Francisco Morazán,,Honduras,Central,MAT-EN-10000091,Material de escritório,Envelopes,"Cameo Malote, Vermelho",5,"1019,4","0,4","-527,6"
122,US-2016-112032,3/20/2016,3/24/2016,Classe padrão,NR-19195,Nicolas Rocha,Pequenas e Medias Empresas,Guanare,Portuguesa,,Venezuela,Sul,MAT-AR-10004240,Material de escritório,Arte,"Stanley Bloco de desenho, Metal",4,"731,04","0,4","-12,96"
127,MX-2018-148488,6/4/2018,6/6/2018,Primeira classe,IB-15130,Igor Barbosa,Varejo,João Pessoa,Paraíba,Nordeste,Brasil,Sul,MAT-EN-10003545,Material de escritório,Envelopes,"GlobeWeis Com lacre, Reciclado",8,1992,0,"636,8"
129,MX-2018-148488,6/4/2018,6/6/2018,Primeira classe,IB-15130,Igor Barbosa,Varejo,João Pessoa,Paraíba,Nordeste,Brasil,Sul,MAT-AR-10002409,Material de escritório,Arte,"Boston Tela, Embalagem tipo bulk",3,"1078,2",0,"517,2"
130,MX-2015-158771,1/4/2015,1/11/2015,Classe padrão,BP-11305,Bianca Pereira,Pequenas e Medias Empresas,Manzanillo,Granma,,Cuba,Caribe,MAT-EN-10003803,Material de escritório,Envelopes,"Jiffy Malote, Conjunto de 50",6,"1857,6",0,36
131,MX-2018-135265,12/25/2018,12/31/2018,Classe padrão,DB-12880,Diego Barros,Grande Empresa,Cidade do México,Distrito Federal,,México,Norte,MAT-PA-10003855,Material de escritório,Papel,"Green Bar Agenda, Reciclado",3,474,0,"222,6"
133,US-2018-118752,9/29/2018,10/4/2018,Classe padrão,VF-21460,Vitor Fernandes,Pequenas e Medias Empresas,Santo Domingo,Distrito Nacional,,República Dominicana,Caribe,MAT-CO-10000354,Material de escritório,Colchetes,"Stockwell Percevejo niquelado, Metal",2,"141,44","0,2","-12,56"
134,US-2018-118752,9/29/2018,10/4/2018,Classe padrão,VF-21460,Vitor Fernandes,Pequenas e Medias Empresas,Santo Domingo,Distrito Nacional,,República Dominicana,Caribe,MAT-FI-10002363,Material de escritório,Fichários,"Ibico Divisórias, Durável",1,"55,52","0,2","-7,68"
135,MX-2018-128762,10/29/2018,11/3/2018,Classe padrão,GC-14395,Gabriel Castro,Grande Empresa,Mendoza,Mendoza,,Argentina,Sul,MAT-ET-10001772,Material de escritório,Etiquetas,"HON Etiquetas redondas, Branco",5,"133,2","0,4","4,2"
136,MX-2018-128762,10/29/2018,11/3/2018,Classe padrão,GC-14395,Gabriel Castro,Grande Empresa,Mendoza,Mendoza,,Argentina,Sul,MAT-AC-10001496,Material de escritório,Eletrônicos,"KitchenAid Micro-ondas, Prata",3,"3732,84","0,4","497,64"
137,MX-2018-128762,10/29/2018,11/3/2018,Classe padrão,GC-14395,Gabriel Castro,Grande Empresa,Mendoza,Mendoza,,Argentina,Sul,MAT-FI-10000270,Material de escritório,Fichários,"Wilson Jones Perfurador, Econômico",1,"55,98","0,7","-130,62"
138,US-2016-105949,3/11/2016,3/13/2016,Primeira classe,BC-11140,Beatriz Castro,Varejo,San Miguelito,Panamá,,Panamá,Central,MAT-AR-10003555,Material de escritório,Arte,"Boston Apontador, Embalagem tipo bulk",7,"818,16","0,4","-14,84"
141,MX-2017-158071,10/16/2017,10/20/2017,Classe padrão,LP-17500,Luana Pinto,Varejo,Caxias do Sul,Rio Grande do Sul,Sul,Brasil,Sul,MAT-FI-10000594,Material de escritório,Fichários,"Wilson Jones Pasta argolada, Durável",3,"290,4",0,"19,8"
143,MX-2016-163272,5/7/2016,5/11/2016,Classe padrão,LA-16615,Laura Almeida,Grande Empresa,Tlaquepaque,Jalisco,,México,Norte,MAT-ET-10001964,Material de escritório,Etiquetas,"Avery Etiquetas jurídicas, Durável",3,"234,6",0,"93,6"
144,MX-2016-163272,5/7/2016,5/11/2016,Classe padrão,LA-16615,Laura Almeida,Grande Empresa,Tlaquepaque,Jalisco,,México,Norte,MAT-EN-10002322,Material de escritório,Envelopes,"Kraft Envelope kraft, Conjunto de 50",4,"706,4",0,"70,4"
146,MX-2015-105298,6/9/2015,6/13/2015,Classe padrão,ER-13810,Erick Ribeiro,Grande Empresa,Santo Domingo,Distrito Nacional,,República Dominicana,Caribe,MAT-CO-10002080,Material de escritório,Colchetes,"Advantus Prendedores de papel, Tamanhos variados",2,"178,56","0,2","-27,04"
147,US-2016-116750,7/22/2016,7/26/2016,Segunda classe,BG-11710,Bruna Goncalves,Varejo,Choloma,Cortés,,Honduras,Central,MAT-AR-10001693,Material de escritório,Armazenamento,"Fellowes Carrinho bandeja, Metal",4,"2182,08","0,4","-1273,12"
148,US-2016-116750,7/22/2016,7/26/2016,Segunda classe,BG-11710,Bruna Goncalves,Varejo,Choloma,Cortés,,Honduras,Central,MAT-ET-10003933,Material de escritório,Etiquetas,"HON Etiquetas para organização de pastas, Vermelho",2,"67,68","0,4","-20,32"
152,MX-2017-106782,10/20/2017,10/24/2017,Classe padrão,BA-11335,Brenda Almeida,Pequenas e Medias Empresas,Holguín,Holguín,,Cuba,Caribe,MAT-FI-10003394,Material de escritório,Fichários,"Avery Divisórias, Transparente",5,193,0,71
154,US-2016-137526,7/7/2016,7/14/2016,Classe padrão,LP-16990,Leonardo Pereira,Grande Empresa,Santiago de los Caballeros,Santiago,,República Dominicana,Caribe,MAT-FI-10000837,Material de escritório,Fichários,"Wilson Jones Encadernadora, Durável",3,"807,36","0,2","-111,24"
155,MX-2015-140032,7/15/2015,7/21/2015,Classe padrão,GO-14800,Giovanna Oliveira,Grande Empresa,Juazeiro,Bahia,Nordeste,Brasil,Sul,MAT-MA-10003063,Material de escritório,Materiais,"Acme Tesouras, Industrial",3,"1030,8",0,"267,6"
157,MX-2016-144862,11/9/2016,11/15/2016,Classe padrão,LM-17230,Letícia Martins,Varejo,Managua,Managua,,Nicarágua,Central,MAT-PA-10003325,Material de escritório,Papel,"Green Bar Artigos de papelaria, Embalagem com 12",3,"1050,6",0,"367,2"
158,MX-2016-137659,11/4/2016,11/4/2016,No mesmo dia,SM-20530,Sofia Melo,Varejo,Hermosillo,Sonora,,México,Norte,MAT-PA-10001069,Material de escritório,Papel,"Xerox Resma, Multicolorido",2,370,0,"36,8"
159,MX-2016-137659,11/4/2016,11/4/2016,No mesmo dia,SM-20530,Sofia Melo,Varejo,Hermosillo,Sonora,,México,Norte,MAT-FI-10003793,Material de escritório,Fichários,"Wilson Jones Divisórias, Reciclado",3,"136,2",0,"64,8"
160,MX-2018-133053,12/18/2018,12/20/2018,Segunda classe,GF-14740,Giovanna Ferreira,Grande Empresa,Cienfuegos,Cienfuegos,,Cuba,Caribe,MAT-AR-10002249,Material de escritório,Arte,"Sanford Tela, Azul",5,1684,0,33
161,MX-2018-133053,12/18/2018,12/20/2018,Segunda classe,GF-14740,Giovanna Ferreira,Grande Empresa,Cienfuegos,Cienfuegos,,Cuba,Caribe,MAT-EN-10000514,Material de escritório,Envelopes,"Cameo Com lacre, Conjunto de 50",6,"1526,4",0,"350,4"
162,MX-2016-133375,7/12/2016,7/12/2016,No mesmo dia,VO-21535,Vitór Oliveira,Pequenas e Medias Empresas,Pinar del Rio,Pinar del Rio,,Cuba,Caribe,MAT-AR-10003420,Material de escritório,Armazenamento,"Tenex Bandejas, Industrial",7,"2552,2",0,994
163,MX-2016-133375,7/12/2016,7/12/2016,No mesmo dia,VO-21535,Vitór Oliveira,Pequenas e Medias Empresas,Pinar del Rio,Pinar del Rio,,Cuba,Caribe,MAT-AR-10004761,Material de escritório,Arte,"Crayola Tela, Metal",6,"2104,8",0,"757,2"
164,US-2018-155194,7/24/2018,7/29/2018,Classe padrão,VS-21580,Vitor Silva,Varejo,Guacara,Carabobo,,Venezuela,Sul,MAT-AC-10002530,Material de escritório,Eletrônicos,"Breville Micro-ondas, Prata",3,"3629,52","0,4","-605,28"
169,US-2017-103513,12/27/2017,12/29/2017,Segunda classe,YC-21880,Yasmin Correia,Grande Empresa,Salta,Salta,,Argentina,Sul,MAT-PA-10004384,Material de escritório,Papel,"Xerox Caderno, Reciclado",1,"105,12","0,4","-28,08"
172,MX-2017-141446,3/23/2017,3/29/2017,Classe padrão,LP-17500,Luana Pinto,Varejo,Morelia,Michoacán,,México,Norte,MAT-FI-10001212,Material de escritório,Fichários,"Acco Divisórias, Transparente",2,"107,2",0,"44,8"
